game_name,scaled_rating
Recettear: An Item Shop's Tale,0.960712488
Cossacks: Art of War,0.800792303
The Land of Eyas,0.904846863
Ken Follett's The Pillars of the Earth,0.921664627
Battle Brothers,0.864843774
Natural Selection 2,0.829588154
无主之地:银河 4X-Galaxy,0.477930495
Spoko and Poko,0.037593985
"Creature Clicker - Capture, Train, Ascend!",0.39129876
Marvel Puzzle Quest,0.652101953
Lucy -The Eternity She Wished For-,0.952101081
M.EXE,0.761828815
Hacknet,0.918012564
The Beggar's Ride,0.783317944
KumaKuma Manga Editor,0.881046285
QuantZ,0.605500237
GET EVEN,0.769831938
DYO,1
Worms Ultimate Mayhem,0.855568831
Paw Patrol: On A Roll,0.812865497
KovaaK's,0.935576647
Worms Crazy Golf,0.797526603
Orbs,1
Idle Champions of the Forgotten Realms,0.787048402
Worms,0.840030183
Rush Bros,0.571725735
Worms Pinball,0.362356508
Tom Clancy's The Division,0.618874597
The Dweller,0.910622327
Orcs Must Die! 2,0.945314977
Beware Planet Earth,0.650488088
Wolfenstein: The New Order,0.886314751
Kynseed,0.872124756
OlliOlli2: Welcome to Olliwood,0.818902093
Project CARS,0.73063723
Golf With Your Friends,0.890509
Assassin's Creed Revelations,0.829975398
RUINER,0.895261259
Immortal Redneck,0.899328944
Diorama Battle of NINJA,0.518796992
Volume,0.758703518
Batman™: Arkham Origins Blackgate - Deluxe Edition,0.316325342
Farm Frenzy 2,0.881809788
Mages of Mystralia,0.881241565
Alien Hostage,0.529490393
Ichi,0.886742945
Cradle of Rome,0.875243665
Cradle of Persia,1
Warstone TD,0.880434514
Driver Fusion,0.636738906
BOOBS SAGA: Prepare To Hentai Edition,0.753938037
Road Redemption,0.797110847
Ghost Sweeper,0.894736842
TAIKU MANSION,0.241547577
Scream Collector,0.832189168
Timberman,0.928405456
rFactor 2,0.801497514
b,0.883092443
Frosty Kiss,0.885707755
Marvin's Mittens,0.976444608
Syberia 3,0.430981894
openCanvas 7,0.761638733
Sweet Lily Dreams,0.419883041
Amazing Cultivation Simulator,0.579420993
Fallout,0.905328493
Fallout 2,0.929037004
Infinifactory,0.935559423
Kingpin,0.769961489
12 orbits,0.849921835
Phoning Home,0.676270969
Crazy Taxi,0.797404947
FINAL FANTASY XII THE ZODIAC AGE,0.843158072
iBomber Defense,0.712245438
NBA 2K Playgrounds 2,0.581811672
Space Channel 5: Part 2,0.871224452
Mastema: Out of Hell,0.612364244
Cossacks 3,0.719396222
Monopoly Plus,0.352607662
Guilty Gear Isuka,0.44434465
Gun Metal,0.737445402
Train Sim World® 2020,0.636835679
GAROU: MARK OF THE WOLVES,0.502756892
METAL SLUG,0.88919098
Sonic Generations,0.911939636
Ion Fury,0.968275886
Hostile Waters: Antaeus Rising,0.700584795
Siralim 2,0.922472849
Seasons after Fall,0.794022092
BEEP,0.827822125
Prospekt,0.549925661
The Evil Within,0.795025264
NEKOPARA Vol. 1,0.950835669
Toki Tori,0.865453666
Vacation Simulator,0.86417657
City Game Studio,0.78075366
AirMech Wastelands,0.693779904
Caves of Qud,0.966548496
Prime World,0.535645837
EDGE,0.91075433
Wallpaper Engine,0.966659978
Heat Signature,0.92875179
STAR WARS™ Jedi Knight: Jedi Academy™,0.938389373
XNemesis,0.775438596
World's Dawn,0.793726741
STAR WARS™ Jedi Knight II: Jedi Outcast™,0.890176536
Wandersong,0.981931841
"Star Wars: Battlefront 2 (Classic, 2005)",0.913764268
LineWay,0.940333926
Thrillville: Off the Rails,0.862365592
METAL GEAR RISING: REVENGEANCE,0.91268985
Shank,0.871013566
Dynamite Jack,0.84319902
Arcade Moonlander,1
GODS Remastered,0.795853269
aMAZE 2,0.813359256
Warhammer: End Times - Vermintide,0.771131235
Surviving Mars,0.674689426
Hex,0.822714681
Tangledeep,0.866235987
Holobunnies: Pause Cafe,0.52723915
Audioship,0.251461988
Eastside Hockey Manager,0.82113423
FlatOut,0.90344794
Tom Clancy's Splinter Cell Blacklist,0.814518794
The Treasures of Montezuma 4,0.826801045
Nova Drift,0.984332926
Small World,0.718489307
